                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2901,                0.82188,                0.97935,                0.64371,                0.39519,                0.43272,                0.24084,                  1.255,                0.75805,                0.95084,             0.00074347,             0.00074347,             0.00074347
                     36,                 1.2884,                0.81996,                 0.9785,                0.64684,                0.39426,                0.43326,                0.24155,                 1.2541,                0.75698,                0.95042,             0.00072973,             0.00072973,             0.00072973
                     37,                 1.2848,                0.81599,                0.97714,                0.65026,                0.39323,                0.43415,                0.24219,                 1.2533,                0.75588,                0.95002,             0.00071576,             0.00071576,             0.00071576
                     38,                 1.2822,                0.81371,                 0.9765,                0.64974,                0.39552,                0.43525,                0.24274,                 1.2525,                0.75484,                0.94964,             0.00070159,             0.00070159,             0.00070159
                     39,                 1.2823,                0.81211,                 0.9758,                0.65087,                0.39602,                0.43644,                0.24359,                 1.2519,                0.75386,                0.94925,             0.00068722,             0.00068722,             0.00068722
                     40,                 1.2792,                0.80952,                0.97447,                0.65207,                0.39634,                0.43747,                0.24414,                 1.2512,                0.75291,                0.94887,             0.00067268,             0.00067268,             0.00067268
                     41,                 1.2772,                0.80717,                0.97398,                0.65353,                0.39749,                0.43809,                0.24471,                 1.2503,                0.75193,                0.94847,             0.00065796,             0.00065796,             0.00065796
                     42,                 1.2759,                0.80652,                0.97316,                0.65117,                0.39998,                0.43883,                0.24521,                 1.2494,                0.75101,                0.94806,              0.0006431,              0.0006431,              0.0006431
                     43,                 1.2749,                0.80391,                0.97299,                0.64963,                0.40135,                0.43927,                0.24581,                 1.2487,                0.75015,                0.94775,              0.0006281,              0.0006281,              0.0006281
                     44,                 1.2722,                0.80046,                0.97233,                0.65571,                0.40082,                0.44029,                0.24639,                 1.2481,                0.74927,                0.94738,             0.00061298,             0.00061298,             0.00061298
                     45,                  1.271,                0.80036,                0.97197,                0.65358,                0.40207,                0.44166,                0.24702,                 1.2473,                0.74839,                0.94702,             0.00059775,             0.00059775,             0.00059775
